n,timeMs,algorithm
100,2.2106,1
200,2.2981,1
300,2.3056,1
400,0.3945,1
500,0.4048,1
600,0.5239,1
700,0.4844,1
800,0.5071,1
900,0.3596,1
1000,0.5307,1
1100,0.6658,1
1200,0.7933,1
1300,0.6216,1
1400,0.4861,1
1500,0.562,1
1600,0.7078,1
1700,0.6591,1
1800,0.6892,1
1900,0.7921,1
2000,0.7204,1
2100,0.8184,1
2200,0.7646,1
2300,0.7691,1
2400,0.7966,1
2500,1.747,1
2600,1.6143,1
2700,1.4686,1
2800,1.5559,1
2900,1.4808,1
3000,1.0641,1
3100,1.0196,1
3200,1.093,1
3300,1.1286,1
3400,1.6902,1
3500,2.0943,1
3600,1.7262,1
3700,1.5794,1
3800,1.4568,1
3900,1.3648,1
4000,1.3831,1
4100,1.4449,1
4200,1.4386,1
4300,1.3974,1
4400,1.4939,1
4500,1.5252,1
4600,1.9052,1
4700,2.3626,1
4800,1.94,1
4900,1.719,1
5000,1.6894,1
5100,1.7726,1
5200,1.798,1
5300,1.9032,1
5400,1.8028,1
5500,1.935,1
5600,1.9098,1
5700,2.1669,1
5800,2.337,1
5900,34.2239,1
6000,2.2196,1
6100,2.3071,1
6200,2.844,1
6300,2.6609,1
6400,2.8468,1
6500,2.1689,1
6600,2.283,1
6700,2.415,1
6800,3.2188,1
6900,3.4362,1
7000,4.2184,1
7100,2.8357,1
7200,2.4095,1
7300,2.8172,1
7400,3.4996,1
7500,4.1271,1
7600,3.5973,1
7700,2.5534,1
7800,2.5938,1
7900,2.6697,1
8000,2.7501,1
8100,2.9588,1
8200,3.6086,1
8300,3.0317,1
8400,3.4102,1
8500,4.1781,1
8600,3.9612,1
8700,3.736,1
8800,3.5827,1
8900,3.0719,1
9000,3.5576,1
9100,3.1864,1
9200,3.7889,1
9300,3.7631,1
9400,3.0234,1
9500,3.2677,1
9600,3.7132,1
9700,5.7536,1
9800,5.5597,1
9900,4.6635,1
10000,5.7155,1
10100,6.1106,1
10200,8.2653,1
10300,5.0625,1
10400,5.2082,1
10500,4.7164,1
10600,5.1984,1
10700,5.5754,1
10800,3.7993,1
10900,4.1048,1
11000,5.4611,1
11100,4.698,1
11200,4.7718,1
11300,4.6127,1
11400,3.8776,1
11500,3.5978,1
11600,4.6645,1
11700,4.9634,1
11800,4.3407,1
11900,4.9052,1
12000,4.6205,1
12100,5.7883,1
12200,6.3798,1
12300,5.4,1
12400,4.7907,1
12500,4.4355,1
12600,3.9697,1
12700,4.5079,1
12800,5.2971,1
12900,4.8636,1
13000,6.2321,1
13100,6.6275,1
13200,4.8849,1
13300,4.9846,1
13400,7.3059,1
13500,5.0023,1
13600,5.8911,1
13700,6.055,1
13800,4.8115,1
13900,5.4385,1
14000,5.3219,1
14100,4.8118,1
14200,5.982,1
14300,6.0713,1
14400,6.6546,1
14500,6.0754,1
14600,6.6328,1
14700,6.9067,1
14800,5.4513,1
14900,6.5042,1
15000,5.7855,1
15100,5.8789,1
15200,6.21,1
15300,5.5072,1
15400,6.2275,1
15500,5.7292,1
15600,5.1588,1
15700,6.5457,1
15800,5.8767,1
15900,5.7802,1
16000,5.9686,1
16100,5.6851,1
16200,7.596,1
16300,6.8152,1
16400,5.4944,1
16500,6.9899,1
16600,6.9142,1
16700,7.439,1
16800,8.2817,1
16900,6.5124,1
17000,7.0182,1
17100,6.4484,1
17200,7.1721,1
17300,6.9193,1
17400,6.6219,1
17500,8.5383,1
17600,7.2889,1
17700,6.8454,1
17800,7.2319,1
17900,6.8417,1
18000,6.8288,1
18100,6.7466,1
18200,7.0745,1
18300,7.7029,1
18400,7.2861,1
18500,7.0285,1
18600,8.7097,1
18700,8.698,1
18800,8.7559,1
18900,5.9591,1
19000,8.3335,1
19100,7.9285,1
19200,7.0219,1
19300,8.8437,1
19400,8.7085,1
19500,7.5139,1
19600,8.0388,1
19700,9.1945,1
19800,6.8463,1
19900,6.5145,1
20000,8.2704,1
20100,8.9081,1
20200,7.4538,1
20300,8.3855,1
20400,8.2124,1
20500,8.3769,1
20600,7.4327,1
20700,6.7325,1
20800,8.0988,1
20900,13.308,1
21000,11.1674,1
21100,8.5851,1
21200,8.2949,1
21300,7.5091,1
21400,8.5937,1
21500,8.9953,1
21600,8.2702,1
21700,6.9832,1
21800,7.8412,1
21900,7.4716,1
22000,7.4465,1
22100,11.8468,1
22200,9.36,1
22300,8.2011,1
22400,8.6827,1
22500,9.0449,1
22600,9.2439,1
22700,10.9036,1
22800,9.2159,1
22900,11.2079,1
23000,8.799,1
23100,11.6527,1
23200,9.5834,1
23300,8.5288,1
23400,8.4191,1
23500,10.4016,1
23600,11.426,1
23700,9.4308,1
23800,9.958,1
23900,9.3474,1
24000,9.8154,1
24100,8.8623,1
24200,10.9082,1
24300,8.4141,1
24400,8.6851,1
24500,8.6211,1
24600,8.731,1
24700,9.7065,1
24800,9.8082,1
24900,9.5184,1
25000,8.0106,1
25100,9.9293,1
25200,10.7331,1
25300,10.2212,1
25400,11.2032,1
25500,9.7275,1
25600,9.5211,1
25700,8.8591,1
25800,9.4687,1
25900,10.0236,1
26000,10.2865,1
26100,9.21,1
26200,10.1427,1
26300,8.9574,1
26400,11.7189,1
26500,10.8451,1
26600,11.3498,1
26700,12.1899,1
26800,14.9616,1
26900,10.1668,1
27000,18.9164,1
27100,10.0396,1
27200,10.0225,1
27300,10.6788,1
27400,13.3255,1
27500,12.3797,1
27600,12.5694,1
27700,10.2853,1
27800,9.8634,1
27900,11.1125,1
28000,12.9327,1
28100,13.261,1
28200,10.5821,1
28300,10.3254,1
28400,11.7109,1
28500,11.6288,1
28600,11.2323,1
28700,18.4073,1
28800,12.6096,1
28900,12.3035,1
29000,14.8355,1
29100,11.0749,1
29200,13.2983,1
29300,15.2856,1
29400,13.1225,1
29500,11.5607,1
29600,11.2991,1
29700,10.8099,1
29800,12.5676,1
29900,12.2516,1
30000,11.7567,1
30100,12.1669,1
30200,14.826,1
30300,12.3681,1
30400,12.0382,1
30500,14.468,1
30600,16.5529,1
30700,12.8054,1
30800,17.0526,1
30900,13.9396,1
31000,12.543,1
31100,11.4883,1
31200,13.9667,1
31300,16.4938,1
31400,11.1986,1
31500,16.4277,1
31600,20.0193,1
31700,19.7515,1
31800,18.0835,1
31900,16.699,1
32000,12.534,1
32100,12.9111,1
32200,17.2531,1
32300,13.4298,1
32400,12.1486,1
32500,13.4693,1
32600,10.9128,1
32700,14.0757,1
32800,13.9677,1
32900,16.7268,1
33000,15.7517,1
33100,12.9449,1
33200,14.1841,1
33300,16.641,1
33400,14.937,1
33500,12.7183,1
33600,14.8896,1
33700,12.6313,1
33800,12.0422,1
33900,14.9009,1
34000,11.544,1
34100,12.0722,1
34200,12.3092,1
34300,11.4277,1
34400,12.1799,1
34500,12.2185,1
34600,12.7188,1
34700,12.1979,1
34800,12.3011,1
34900,16.3705,1
35000,12.3732,1
35100,12.9341,1
35200,13.2293,1
35300,15.1212,1
35400,12.3545,1
35500,13.8751,1
35600,13.0872,1
35700,14.3624,1
35800,11.8948,1
35900,11.7211,1
36000,13.009,1
36100,12.612,1
36200,12.0769,1
36300,12.2021,1
36400,12.6114,1
36500,15.4394,1
36600,16.0033,1
36700,14.2322,1
36800,13.3234,1
36900,14.4892,1
37000,12.5313,1
37100,13.8215,1
37200,13.4515,1
37300,17.6265,1
37400,15.0241,1
37500,12.706,1
37600,13.6511,1
37700,14.1585,1
37800,13.4992,1
37900,13.6175,1
38000,12.9251,1
38100,16.9292,1
38200,16.7412,1
38300,14.9071,1
38400,14.2078,1
38500,14.8659,1
38600,14.8854,1
38700,13.9313,1
38800,17.8278,1
38900,15.42,1
39000,18.2105,1
39100,13.5911,1
39200,14.0868,1
39300,13.9009,1
39400,20.1065,1
39500,12.8223,1
39600,13.8536,1
39700,17.0514,1
39800,14.3381,1
39900,14.7151,1
40000,13.7272,1
40100,14.7312,1
40200,13.5734,1
40300,14.1544,1
40400,14.4662,1
40500,17.2625,1
40600,12.9076,1
40700,14.4624,1
40800,14.1889,1
40900,14.3471,1
41000,14.6032,1
41100,14.8294,1
41200,15.9358,1
41300,18.6452,1
41400,16.2233,1
41500,22.2892,1
41600,24.1131,1
41700,26.3168,1
41800,16.3005,1
41900,24.623,1
42000,22.3179,1
42100,23.3579,1
42200,25.3203,1
42300,18.0293,1
42400,14.8714,1
42500,23.3938,1
42600,20.6788,1
42700,26.3792,1
42800,18.911,1
42900,19.2051,1
43000,16.6832,1
43100,17.9161,1
43200,18.3573,1
43300,17.8162,1
43400,16.2688,1
43500,18.3251,1
43600,20.4641,1
43700,17.8471,1
43800,18.0014,1
